date,max_temp,min_temp
2026-03-25,19.7,5.6
2026-03-26,6.5,3.9
2026-03-27,7.2,3.2
2026-03-28,6.6,3.2
2026-03-29,7.2,4.8
2026-03-30,9.3,4.4
2026-03-31,8.3,4.9
2026-04-01,11.9,4.7
